SMILES,Is_Starter,SourceDirectories
CC=C(C)C,False,starter_00014;starter_00026;starter_00028;starter_00030;starter_00033;starter_00057;starter_00058;starter_00063;starter_00068;starter_00073
CC(C)=CCc1cc(C#N)cc(F)c1O,False,starter_00014
CC(C)=CCc1cc(C(N)=O)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C(=O)O)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CC(c1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)c1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CC(C=C(C)C)c1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
C=C(C)C,False,starter_00014;starter_00026;starter_00028;starter_00030;starter_00033;starter_00058;starter_00063;starter_00068;starter_00073
CC(C)=CC(Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)c1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CC(C(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)c1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1c(-c2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)c(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1c(C=C(C)C)c(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1c(Cc2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)c(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1c(C)c(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1c(C(C)=CCc2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)c(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@]1(c2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@]1(C=C(C)C)CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@]1(Cc2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@]1(C)CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@]1(C(C)=CCc2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)c(-c2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)c(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)c(C=C(C)C)c(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)c(Cc2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)c(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)c(C)c(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)c(C(C)=CCc2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)c(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1C(c2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)Cc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1C(C=C(C)C)Cc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1C(Cc2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)Cc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1C(C)Cc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1C(C(C)=CCc2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)Cc2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CC(c2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)c2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CC(C=C(C)C)c2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CC(Cc2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)c2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CC(C)c2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CC(C(C)=CCc2cc(C#N)cc(F)c2[C@H]2CCc3cncn32)c2cncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cnc(-c3cc(C#N)cc(F)c3[C@H]3CCc4cncn43)n21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cnc(C=C(C)C)n21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cnc(Cc3cc(C#N)cc(F)c3[C@H]3CCc4cncn43)n21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cnc(C)n21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cnc(C(C)=CCc3cc(C#N)cc(F)c3[C@H]3CCc4cncn43)n21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2c(-c3cc(C#N)cc(F)c3[C@H]3CCc4cncn43)ncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2c(C=C(C)C)ncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2c(Cc3cc(C#N)cc(F)c3[C@H]3CCc4cncn43)ncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2c(C)ncn21,False,starter_00014
CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2c(C(C)=CCc3cc(C#N)cc(F)c3[C@H]3CCc4cncn43)ncn21,False,starter_00014
CC(C)=C(Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)c1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CC(Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)=C(C)C,False,starter_00014
CC(C)=C(Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)C(Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)=C(C)C,False,starter_00014
CC(=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)Cc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(C)=CCC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC(=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21)CC(C)=CCc1cc(C#N)cc(F)c1[C@H]1CCc2cncn21,False,starter_00014
CC=CC(C)c1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)=Cc1c(F)c([C@H]2CCc3cncn32)cc(C)c1C#N,False,starter_00014
CC=CCc1cc([C@H]2CCc3cncn32)c(F)c(C)c1C#N,False,starter_00014
CC(C)=C[C@@]1(c2cc(C)c(C#N)cc2F)CCc2cncn21,False,starter_00014
CC=CCc1cc([C@]2(C)CCc3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)=CC1Cc2cncn2[C@H]1c1cc(C)c(C#N)cc1F,False,starter_00014
CC=CCc1cc([C@H]2C(C)Cc3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)=CC1C[C@H](c2cc(C)c(C#N)cc2F)n2cncc21,False,starter_00014
CC=CCc1cc([C@H]2CC(C)c3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)=Cc1ncc2n1[C@@H](c1cc(C)c(C#N)cc1F)CC2,False,starter_00014
CC=CCc1cc([C@H]2CCc3cnc(C)n32)c(F)cc1C#N,False,starter_00014
CC(C)=Cc1ncn2c1CC[C@@H]2c1cc(C)c(C#N)cc1F,False,starter_00014
CC=CCc1cc([C@H]2CCc3c(C)ncn32)c(F)cc1C#N,False,starter_00014
CC=C(C)Cc1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
CCC=CCc1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)C=Cc1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
C=C(C)CCc1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)CCc1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)=CCC1C=C([C@H]2CCc3cncn32)C(F)=CC1C#N,False,starter_00014
CC(C)=CCC1=CC([C@H]2CCc3cncn32)=C(F)CC1C#N,False,starter_00014
CC(C)=CC(C)c1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)=C(C)Cc1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
CCC(C)=CCc1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)=CCc1cc([C@H]2CCc3cncn32)c(F)c(CC=C(C)C)c1C#N,False,starter_00014
CC(C)=CCC(C)(C)C=Cc1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
C=C(C)C(CC=C(C)C)Cc1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)=C(Cc1cc([C@H]2CCc3cncn32)c(F)cc1C#N)C(=O)O,False,starter_00014
CC(C)=CC(C(=O)O)c1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)=CCc1c(C#N)cc(F)c([C@H]2CCc3cncn32)c1C(=O)O,False,starter_00014
CC(C)=CCc1cc([C@H]2CCc3cncn32)c(F)c(C(=O)O)c1C#N,False,starter_00014
CC(=CCc1cc([C@H]2CCc3cncn32)c(F)cc1C#N)CC(=O)O,False,starter_00014
CC(C)=CC(O)c1cc([C@H]2CCc3cncn32)c(F)cc1C#N,False,starter_00014
CC(C)=CCc1c(C#N)cc(F)c([C@H]2CCc3cncn32)c1O,False,starter_00014
CC(C)=CCc1cc([C@H]2CCc3cncn32)c(F)c(O)c1C#N,False,starter_00014
