SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
CC(Cl)(C#N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H15ClN6O4,354.0843,24
N#CC(O)(CO)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H16N6O6,352.1131,25
CC(O)(O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21)C(N)=O,False,C13H18N6O6,354.1288,25
CC(O)(C=NO)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H18N6O6,354.1288,25
CC(C#N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C13H16N6O4,320.1233,23
C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(C)(O)C#N)[C@@H]1O,False,C13H16N6O4,320.1233,23
CC(O)(C#N)O[C@@H]1[C@H](O)[C@@H](C(=O)O)O[C@H]1n1cnc2c(N)ncnc21,False,C13H14N6O6,350.0975,25
N#CCC(O)(C#N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C14H15N7O5,361.1135,26
N#CC(O)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C12H14N6O5,322.1026,23
CC(O)(C#N)O[C@@]1(C#N)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C14H15N7O5,361.1135,26
CC(O)(C#N)O[C@@]1(C)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N)ncnc21,False,C14H18N6O5,350.1339,25
CC(O)(C#N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(C#N)n1cnc2c(N)ncnc21,False,C14H15N7O5,361.1135,26
CC(O)(C#N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@]1(C)n1cnc2c(N)ncnc21,False,C14H18N6O5,350.1339,25
CC(O)(C#N)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@H](CO)[C@@]1(O)C#N,False,C14H15N7O5,361.1135,26
CC(O)(C#N)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@H](CO)[C@]1(C)O,False,C14H18N6O5,350.1339,25
CC(O)(C#N)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@@](C#N)(CO)[C@H]1O,False,C14H15N7O5,361.1135,26
CC(O)(C#N)O[C@H]1[C@H](n2cnc3c(N)ncnc32)O[C@@](C)(CO)[C@H]1O,False,C14H18N6O5,350.1339,25
CC(O)(C#N)O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1c(C#N)nc2c(N)ncnc21,False,C14H15N7O5,361.1135,26
Cc1nc2c(N)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1OC(C)(O)C#N,False,C14H18N6O5,350.1339,25
CC(O)(C#N)O[C@@H]1[C@H](O)[C@@H](C(O)C#N)O[C@H]1n1cnc2c(N)ncnc21,False,C14H15N7O5,361.1135,26
CC(O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](OC(C)(O)C#N)[C@@H]1O,False,C14H18N6O5,350.1339,25
