SMILES,Is_Starter,MolFormula,MolWeight,NumHeavyAtoms
NC1=CC(O)OC1CCO,False,C6H11NO3,145.0739,10
COC(=O)CC1OC(O)C=C1N,False,C7H11NO4,173.0688,12
COC1C=C(N)C(CC(=O)O)O1,False,C7H11NO4,173.0688,12
NC1=CC(O)OC1CC(=O)Cl,False,C6H8ClNO3,177.0193,11
NC(=O)CC1OC(O)C=C1N,False,C6H10N2O3,158.0691,11
N#CCC1OC(O)C=C1N,False,C6H8N2O2,140.0586,10
NC1=CC(O)OC1C=O,False,C5H7NO3,129.0426,9
NC1=CC(O)(C(O)C=O)OC1,False,C6H9NO4,159.0532,11
NC1=CC(O)(C=O)OC1CO,False,C6H9NO4,159.0532,11
NC1=CC(O)OC1(C=O)CO,False,C6H9NO4,159.0532,11
NC1=C(C=O)C(O)OC1CO,False,C6H9NO4,159.0532,11
NC1=CC(O)OC1,False,C4H7NO2,101.0477,7
OC1C=C2N=CC(O)C2O1,False,C6H7NO3,141.0426,10
NC1=CC2OC1C(O)(CO)O2,False,C6H9NO4,159.0532,11
NC1=CC2(O)OC(CO)C1O2,False,C6H9NO4,159.0532,11
NC1=CC(O)OC12OC2CO,False,C6H9NO4,159.0532,11
NC1=CC2OC1(C(O)CO)O2,False,C6H9NO4,159.0532,11
NC1=C2OC(CO)C1OC2O,False,C6H9NO4,159.0532,11
NC1=C2OC2OC1C(O)CO,False,C6H9NO4,159.0532,11
NC1=CC(O)OC1C(=O)C=O,False,C6H7NO4,157.0375,11
NC1=CC(O)OC1C(O)=C=O,False,C6H7NO4,157.0375,11
COC(C=O)C1OC(O)C=C1N,False,C7H11NO4,173.0688,12
COC1C=C(N)C(C(O)C=O)O1,False,C7H11NO4,173.0688,12
NC1=CC(O)OC1C(Cl)C=O,False,C6H8ClNO3,177.0193,11
NC1=CC(=O)OC1(CO)CO,False,C6H9NO4,159.0532,11
NC1=C(CO)C(=O)OC1CO,False,C6H9NO4,159.0532,11
CC(=O)C1OC(=O)C=C1N,False,C6H7NO3,141.0426,10
NC1=CC(=O)OC1C(=O)CO,False,C6H7NO4,157.0375,11
COC(CO)C1OC(=O)C=C1N,False,C7H11NO4,173.0688,12
COCC(O)C1OC(=O)C=C1N,False,C7H11NO4,173.0688,12
NC1=CC(=O)OC1C(Cl)CO,False,C6H8ClNO3,177.0193,11
NC1=CC(=O)OC1C(O)CCl,False,C6H8ClNO3,177.0193,11
CC(O)C1OC(=O)C=C1N,False,C6H9NO3,143.0582,10
CC(=O)NC1=CC(=O)OC1C,False,C7H9NO3,155.0582,11
NC1=CC(=O)OC1C(=O)CC=O,False,C7H7NO4,169.0375,12
CC1(C(=O)C=O)OC(=O)C=C1N,False,C7H7NO4,169.0375,12
CC1(C=O)OC(=O)C(C=O)=C1N,False,C7H7NO4,169.0375,12
O=CCC12C=NC1=CC(=O)O2,False,C7H5NO3,151.0269,11
